CCG Comments,CMU ,FY,Last Stage Reached,Project Assessed,Project ID,Project Name,Approval Date,Approval Step,CO Team Lead,Could count for more adaptation,Could count for more mitigation,Country,FY Probability,GP,Lending Instrument,Potential (Y/N),Practice Group,Practice Manager Name,Region,Requesting Cost Center Code,Responsible Cost Center Code,Responsible Cost Center Name,Team Lead Name,TLN CDRS: Project compliant with CDRS requirement?,TLN CI: Climate indicator included?,TLN CI: Name of Climate Indicator,TLN CI: Project compliant with CI requirement?,TLN GHG: Applicable to operation,TLN GHG: GHG lifetime,"TLN GHG: Gross Emissions  (tCO2e, lifetime)","TLN GHG: Net Emissions (annual average, tCO2e/year)","TLN GHG: Net Emissions (economic lifetime, tCO2e)",TLN GHG: Status of data,TN1: % (Climate Co-Benefits Over Total IDA/IBRD Commitment),TN2: Net IDA/IBRD Adaptation ($M) ,TN3: Net IDA/IBRD Mitigation ($M) ,TN4: Total IDA/IBRD Climate Co-Benefits ($M) ,TN5: % (IBRD Climate Co-Benefits Over Total IBRD Commitment),TN6: % (IDA Climate Co-Benefits Over Total IDA Commitment),TN7: Net IBRD Adaptation ($M),TN8: IBRD Climate Co-Benefits ($M),TN9: Net IBRD Mitigation ($M),TO1: Net IDA Adaptation ($M),TO2: IDA Climate Co-Benefits ($M),TO3: Net IDA Mitigation ($M),TO4: IBRD Commitment ($M),TO5: IDA Commitment ($M),TO6: Total IDA/IBRD Commitment ($M),TO7: Gross IDA/IBRD Adaptation ($M),TO8: Gross IDA/IBRD Mitigation ($M),TO9: Dual Benefit Finance ($M)
 ,AECC2-AFE,FY18,Bank Approved,Assessed,P155060,Local Development for Jobs Project,8/22/2017,A,000196934 | Magueye Dia ~ 000273797 | Christian Vang Eghoff ~ 000500137 | Nadia Nintunze ~,0,0,Burundi,Firm,Finance Competitiveness and Innovation,Investment,No,GGEVP,Consolate K. Rusagara,AFE,AECC2,EAEF2,EFI-AFR1-FCI-Finance-2,Magueye Dia,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,50,50,,,
 ,AECC2-AFE,FY18,Bank Approved,Assessed,P159052,Angola: Commercial Agriculture Development Project,5/29/2018,A,000445534 | Izabela Leao ~ 000515713 | Ruben Jorge Barreto ~ 000465118 | Julia Isabel Navarro Espinal ~,0,0,Angola,Firm,Agriculture and Food,Investment,No,GGSVP,Shobha Shetty,AFE,AECC2,SAEA2,Agriculture and Food PG AFR2,Izabela Leao,Yes,,,,,,,,,,17.14%,14.960000000000001,7.3200000000000003,22.280000000000001,0.171384615,0,14.96,22.28,7.32,0,0,0,130,0,130,,,
 ,AECC2-AFE,FY18,Bank Approved,Assessed,P160105,AO-Local development Project - AF,7/25/2017,A,000417697 | Eric Zapatero Larrio ~,0,0,Angola,Firm,Social Protection and Jobs,Investment,No,GGHVP,Suleiman Namara,AFE,AECC2,HAES2,Social Protection AFR E2,Eric Zapatero Larrio,Yes,,,,,,,,,,8%,0,5.5999999999999996,5.5999999999999996,0.08,0,0,5.6,5.6,0,0,0,70,0,70,,,
 ,AECC2-AFE,FY18,Bank Approved,Assessed,P160613,Burundi Landscape Restoration and Resilience Project,4/11/2018,A,000107150 | Enos E. Esikuri ~,0,0,Burundi,Firm,Environment Natural Resources and the Blue Economy,Investment,No,GGSVP,Abdelaziz Lagnaoui,AFE,AECC2,SAEE3,AFR ENR PM 3,Enos E. Esikuri,Yes,,,,,,,,,,90.67%,14.76,12.44,27.199999999999999,0,0.906666667,0,0,0,14.76,27.2,12.44,0,30,30,,,
 ,AECC2-AFE,FY18,Bank Approved,Assessed,P160948,Angola Health System Performance Strengthening Project (HSPSP),3/29/2018,A,000290682 | Renzo Efren Sotomayor Noel ~ 000485025 | Soazic Elise Wang Sonne,0,0,Angola,Firm,Health Nutrition and Population,Investment,No,GGHVP,Francisca Ayodeji Akala,AFE,AECC2,HAEH2,HEALTH AFR E2,Renzo Efren Sotomayor Noel,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,110,0,110,,,
 ,AECC2-AFE,FY18,Bank Approved,Assessed,P161600,Burundi Early Grade Learning Project,5/24/2018,A,000539650 | Maroua Sallami ~,0,0,Burundi,Firm,Education,Investment,No,GGHVP,Meskerem Mulatu,AFE,AECC2,HAEE2,Education AFR E2,Maroua Sallami,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,40,40,,,
 ,AECC2-AFE,FY18,Bank Approved,Assessed,P161707,2nd Strengthening Growth & Fiscal Policy Development Policy Financing,5/18/2018,A,000377165 | Rafael Chelles Barroso ~,0,0,Sao Tome and Principe,Firm,Macroeconomics Trade and Investment,DPO,No,GGEVP,Abha Prasad,AFE,AECC2,EAEM1,EFI-AFR1-MTI-MacroFiscal-1,Rafael Chelles Barroso,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,6,6,,,
 ,AECC2-AFE,FY18,Bank Approved,Assessed,P162129,Sao Tome and Principe: Institutional Capacity Building Project,5/18/2018,A,000544669 | Delfim Mampassi E Martins Mawete ~ 000386857 | Belisario Alexandre Carvalheda Dos Santos ~ 000451968 | Carlos Chadreque Penicela Da Maia ~,0,0,Sao Tome and Principe,Firm,Finance Competitiveness and Innovation,Investment,No,GGEVP,Consolate K. Rusagara,AFE,AECC2,EAEF2,EFI-AFR1-FCI-Finance-2,Delfim Mampassi E Martins Mawete,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,12,12,,,
 ,AECC2-AFE,FY18,Begin Negotiation,Assessed,P164728,Africa Region - Improved Investment Climate within the Organization for the Harmonization of Business Laws in Africa (OHADA) AF,6/8/2018,A,000196934 | Magueye Dia ~,0,0,Africa,Firm,Finance Competitiveness and Innovation,Investment,No,GGEVP,Mehnaz S. Safavian,AFE,AECC2,EAWF2,EFI-AFR2-FCI-Finance-2,Magueye Dia,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,15,15,,,
 ,AECC2-AFE,FY18,Begin Negotiation,Assessed,P167201,Additional Financing - Second Water Institutional Development Project,6/21/2018,A,000380782 | Camilo Lombana Cordoba ~,0,0,Angola,Firm,Water,Investment,No,GGSVP,Soma Ghosh Moulik,AFE,AECC2,SAEW2,Water Africa 3,Camilo Lombana Cordoba,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,150,0,150,,,
 ,AECC2-AFE,FY18,Decision Meeting,Assessed,P163962,Productive Inclusion Project,6/28/2018,A,000348128 | Paul G. A. Bance ~,0,0,Congo Democratic Republic of,Firm,Social Protection and Jobs,Investment,No,GGHVP,Suleiman Namara,AFE,AECC2,HAES2,Social Protection AFR E2,Paul G. A. Bance,Yes,,,,,,,,,,22.80%,26.09,19.510000000000002,45.600000000000001,0,0.228,0,0,0,26.09,45.6,19.51,0,200,200,,,
 ,AECC2-AFE,FY20,Bank Approved,Assessed,P163610,Luanda Bita Water Supply Guarantee Project,7/16/2019,A,000368441 | Antonio Manuel Rodriguez Serrano ~ 000251992 | Philip Lam ~ 000316880 | Berta Adelaide Da Silva Macheve ~,0,0,Angola,Firm,Water,Investment,No,GGSVP,Soma Ghosh Moulik,AFE,AECC2,SAEW2,Water Africa 3,Antonio Manuel Rodriguez Serrano,Yes,,,,Y,21,"1,302,577","-111,970","-2,351,378",GHG data finalized,75%,187.5,187.5,375,0.75,0,187.5,375,187.5,0,0,0,500,0,500,,,
 ,AECC2-AFE,FY20,Bank Approved,Assessed,P164321,THIRD STRENGTHENING GROWTH AND FISCAL POLICY DEVELOPMENT POLICY FINANCING,12/18/2019,A,000456852 | Cornelius Fleischhaker ~,0,0,Sao Tome and Principe,Firm,Macroeconomics Trade and Investment,DPO,No,GGEVP,Abha Prasad,AFE,AECC2,EAEM1,EFI-AFR1-MTI-MacroFiscal-1,Cornelius Fleischhaker,Yes,,,,,,,,,,11.20%,0,0.56000000000000005,0.56000000000000005,0,0.112,0,0,0,0,0.56,0.56,0,5,5,,,
 ,AECC2-AFE,FY20,Bank Approved,Assessed,P164435,Solar Energy in Local Communities,2/28/2020,A,000586347 | David Majambere ~ 000481533 | Juliette Suzanne Georgette Besnard,0,0,Burundi,Firm,Energy and Extractives,Investment,No,GGIVP,Yadviga Viktorivna Semikolenova,AFE,AECC2,IAEE3,Infra AFR Energy 3,David Majambere,Yes,,,,Y,25,"502,967","-116,317","-2,907,913",GHG data finalized,89.84%,0,89.840000000000003,89.840000000000003,0,0.8984,0,0,0,0,89.84,89.84,0,100,100,,,
 ,AECC2-AFE,FY20,Bank Approved,Assessed,P165253,Investing in Early Years and Fertility in Burundi (NKURIZA),9/5/2019,A,000314213 | Ghulam Dastagir Sayed ~ 000388629 | Olivier Basenya,0,0,Burundi,Firm,Health Nutrition and Population,Investment,No,GGHVP,Francisca Ayodeji Akala,AFE,AECC2,HAEH2,HEALTH AFR E2,Ghulam Dastagir Sayed,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,30,30,,,
 ,AECC2-AFE,FY20,Bank Approved,Assessed,P166564,Angola Growth and Inclusion DPF,7/16/2019,A,000203767 | Norbert Matthias Fiess ~ 000264447 | Mazen Bouri,0,0,Angola,Firm,Macroeconomics Trade and Investment,DPO,No,GGEVP,Abha Prasad,AFE,AECC2,EAEM1,EFI-AFR1-MTI-MacroFiscal-1,Norbert Matthias Fiess,Yes,,,,,,,,,,14.28%,0,71.400000000000006,71.400000000000006,0.1428,0,0,71.4,71.4,0,0,0,500,0,500,,,
 ,AECC2-AFE,FY20,Bank Approved,Assessed,P169196,Power Sector Recovery Project Additional Financing,4/6/2020,A,000466156 | Nicolas Jean Marie Sans ~ 000467222 | Nash Fiifi Eyison,0,0,Sao Tome and Principe,Firm,Energy and Extractives,Investment,No,GGIVP,Yadviga Viktorivna Semikolenova,AFE,AECC2,IAEE3,Infra AFR Energy 3,Nicolas Jean Marie Sans,Yes,,,,Y,20,0,"-9,630","-192,566",GHG data finalized,100%,0.5,11.5,12,0,1,0,0,0,0.5,12,11.5,0,12,12,,,
 ,AECC2-AFE,FY20,Bank Approved,Assessed,P169315,Burundi Integrated Community Development Project,2/28/2020,A,000491783 | Dario Zanardi ~ 000465366 | Samaneh Hemat ~ 000311143 | Aasa Margareta Genevieve Restrepo Giertz ~,0,0,Burundi,Firm,Social Sustainability and Inclusion,Investment,No,GGSVP,Varalakshmi Vemuru,AFE,AECC2,SAES3,Social AFR 3,Dario Zanardi,Yes,,,,,,,,,,9.07%,3.2999999999999998,2.1400000000000001,5.4400000000000004,0,0.090666667,0,0,0,3.3,5.44,2.14,0,60,60,,,
